iter	RMSE
0	81273.90578
1	80310.74523
2	79348.36467
3	78460.90469
4	77276.88055
5	76364.80769
6	75304.31223
7	74383.23538
8	73660.34353
9	72766.16677
10	71981.38814
11	71169.2573
12	70393.60354
13	69657.72845
14	69005.15043
15	68357.54165
16	67687.21697
17	67005.44714
18	66381.3852
19	65874.34837
20	65366.46226
21	65025.63546
22	64535.95204
23	64210.61224
24	63753.34512
25	63408.796
26	63007.04063
27	62714.27886
28	62394.65361
29	62157.60393
30	61924.38822
31	61668.34217
32	61437.82618
33	61161.02931
34	60884.26414
35	60622.79347
36	60358.71986
37	60123.13813
38	59933.64721
39	59761.75215
40	59616.90692
41	59459.03157
42	59311.08294
43	59156.71047
44	58970.94801
45	58849.81951
46	58755.39882
47	58621.52459
48	58505.79994
49	58383.13863
50	58288.95945
51	58157.15248
52	58037.95393
53	57933.99709
54	57837.88699
55	57747.18481
56	57650.47772
57	57554.27892
58	57456.19288
59	57372.68268
60	57296.4028
61	57210.0623
62	57142.59012
63	57070.34333
64	56992.49277
65	56923.91998
66	56885.2703
67	56842.516
68	56789.26912
69	56741.14902
70	56694.85383
71	56652.05003
72	56620.17008
73	56597.30281
74	56547.97691
75	56481.28821
76	56424.55705
77	56379.67322
78	56333.01088
79	56302.22964
80	56263.24362
81	56229.42217
82	56181.10408
83	56135.30859
84	56113.22292
85	56073.87634
86	56028.56449
87	55992.80232
88	55968.0636
89	55939.50883
90	55912.48436
91	55902.96665
92	55870.22857
93	55849.00396
94	55821.94675
95	55789.42845
96	55772.86787
97	55738.71239
98	55707.87916
99	55693.98294
100	55663.84776
101	55656.05891
102	55625.43311
103	55598.19116
104	55592.90773
105	55563.91198
106	55555.68673
107	55546.54988
108	55533.98203
109	55523.34541
110	55504.79274
111	55476.85239
112	55469.05221
113	55447.41261
114	55425.40978
115	55402.06574
116	55382.1588
117	55374.90654
118	55363.0087
119	55352.69605
120	55335.83819
121	55314.76334
122	55290.81811
123	55280.04419
124	55262.78693
125	55255.80643
126	55249.88285
127	55232.7461
128	55226.61552
129	55222.53817
130	55222.33683
131	55200.02311
132	55200.51831
133	55182.74486
134	55177.39774
135	55163.11352
136	55147.78479
137	55129.4775
138	55124.29271
139	55111.39463
140	55102.52009
141	55086.31915
142	55083.59392
143	55077.01496
144	55061.13733
145	55053.14371
146	55052.69558
147	55036.5809
148	55020.56454
149	55005.86432
150	55002.39419
151	54990.48665
152	54989.25444
153	54979.59623
154	54979.44994
155	54967.49253
156	54968.48112
157	54961.18529
158	54958.92111
159	54950.75869
160	54937.38122
161	54934.39145
162	54927.50266
163	54924.72527
164	54914.5459
165	54912.80169
166	54912.11789
167	54900.73714
168	54895.44685
169	54886.01863
170	54876.55267
171	54875.55385
172	54876.26273
173	54868.63255
174	54865.39775
175	54864.04895
176	54856.91922
177	54847.95565
178	54847.82106
179	54837.53587
180	54826.99859
181	54820.08954
182	54812.01496
183	54813.06339
184	54803.53895
185	54795.84345
186	54790.05739
187	54783.11296
188	54775.2772
189	54768.78845
190	54761.73934
191	54755.50485
192	54749.61919
193	54750.38176
194	54739.66844
195	54733.73141
196	54724.58248
197	54718.33022
198	54709.46623
199	54703.94911
200	54692.97767
201	54685.1095
202	54679.80426
203	54674.3254
204	54668.40863
205	54659.6421
206	54651.39509
207	54641.93304
208	54638.21741
209	54633.1919
210	54628.32636
211	54625.09715
212	54621.19356
213	54615.95256
214	54612.6169
215	54608.71835
216	54603.17892
217	54597.69086
218	54593.30015
219	54589.36268
220	54585.51372
221	54582.53924
222	54577.11223
223	54571.06158
224	54567.6692
225	54560.04611
226	54555.49177
227	54551.07082
228	54545.56526
229	54541.14944
230	54536.41145
231	54528.809
232	54526.68923
233	54523.33268
234	54516.45363
235	54513.02379
236	54510.92427
237	54509.43087
238	54505.40411
239	54499.84473
240	54496.72309
241	54492.84345
242	54491.39556
243	54487.73208
244	54485.42621
245	54481.1915
246	54477.86131
247	54475.74111
248	54470.4813
249	54466.52272
250	54461.97781
251	54459.3468
252	54457.18631
253	54455.35412
254	54452.8893
255	54449.55938
256	54446.78457
257	54443.26406
258	54441.65679
259	54438.27401
260	54436.0432
261	54433.30015
262	54430.53371
263	54428.88521
264	54426.62875
265	54424.84647
266	54422.61144
267	54420.75078
268	54419.50053
269	54417.92178
270	54416.02913
271	54413.53647
272	54412.06351
273	54410.14724
274	54408.08483
275	54404.61569
276	54403.34945
277	54401.35428
278	54398.34572
279	54396.67477
280	54393.7725
281	54391.44472
282	54389.74899
283	54388.37567
284	54386.757
285	54385.4323
286	54384.72281
287	54382.95735
288	54381.08163
289	54379.66142
290	54376.41861
291	54374.32848
292	54371.48568
293	54369.50107
294	54368.51177
295	54367.05054
296	54365.38031
297	54364.05358
298	54363.14344
299	54360.81735
300	54359.63034
301	54357.82534
302	54357.00432
303	54355.83722
304	54354.7808
305	54352.78731
306	54351.63213
307	54350.42812
308	54348.91817
309	54346.34362
310	54345.54249
311	54344.04904
312	54342.59172
313	54341.86498
314	54340.8168
315	54339.82616
316	54338.02219
317	54335.87124
318	54334.85409
319	54333.54604
320	54332.62921
321	54331.56624
322	54331.01251
323	54330.29323
324	54328.11795
325	54327.2708
326	54325.54937
327	54324.19539
328	54322.42592
329	54321.57097
330	54320.85681
331	54320.03964
332	54318.58627
333	54317.36428
334	54316.27502
335	54315.48644
336	54314.69022
337	54313.32582
338	54311.66369
339	54311.11387
340	54310.32134
341	54309.54781
342	54308.74993
343	54308.38668
344	54307.88604
345	54306.93193
346	54306.64483
347	54304.88711
348	54304.28819
349	54303.03652
350	54302.34945
351	54301.65135
352	54300.20702
353	54299.12711
354	54298.32442
355	54297.90777
356	54296.88004
357	54296.72459
358	54296.21981
359	54295.82673
360	54294.54962
361	54293.95242
362	54293.17408
363	54292.55225
364	54291.99021
365	54291.05025
366	54290.12668
367	54289.77651
368	54289.27239
369	54289.23987
370	54288.90273
371	54287.46909
372	54286.04758
373	54284.7042
374	54283.74123
375	54283.47807
376	54282.57626
377	54282.07023
378	54281.79401
379	54280.29858
380	54279.7755
381	54278.37601
382	54277.07588
383	54276.59978
384	54275.94169
385	54274.7591
386	54274.36021
387	54273.71448
388	54272.89076
389	54272.3718
390	54271.5623
391	54270.25983
392	54269.84887
393	54269.01892
394	54267.89661
395	54267.49933
396	54266.83906
397	54266.49293
398	54266.20167
399	54265.74303
400	54264.45895
401	54264.04544
402	54263.40716
403	54262.23159
404	54261.24042
405	54260.26264
406	54259.73529
407	54259.05497
408	54258.73527
409	54258.33364
410	54258.00903
411	54257.02238
412	54255.97852
413	54255.424
414	54255.06314
415	54254.10317
416	54252.95897
417	54252.69427
418	54252.20669
419	54251.25584
420	54250.9984
421	54249.85612
422	54249.42214
423	54249.27013
424	54248.44972
425	54247.61904
426	54247.0743
427	54246.35998
428	54246.01501
429	54245.74354
430	54245.13847
431	54244.06808
432	54243.07792
433	54241.87814
434	54241.81429
435	54241.20569
436	54240.77644
437	54240.13017
438	54239.79683
439	54238.92075
440	54238.12441
441	54237.56329
442	54236.94275
443	54236.31908
444	54235.57965
445	54235.3103
446	54234.64448
447	54233.84316
448	54233.5954
449	54233.34558
450	54233.27718
451	54232.84779
452	54231.81406
453	54231.00628
454	54230.58834
455	54230.47194
456	54229.8026
457	54229.53394
458	54229.27854
459	54228.607
460	54228.24424
461	54227.34044
462	54226.87692
463	54226.19891
464	54226.04348
465	54225.07294
466	54224.53612
467	54223.7689
468	54223.01718
469	54222.35502
470	54221.74719
471	54221.53837
472	54221.26225
473	54220.97462
474	54220.88968
475	54219.78315
476	54219.29832
477	54219.18007
478	54218.77112
479	54218.28756
480	54217.29729
481	54216.8733
482	54216.61748
483	54215.9537
484	54215.3695
485	54215.30758
486	54214.99783
487	54214.32021
488	54213.64358
489	54213.26792
490	54212.80615
491	54212.2443
492	54211.3973
493	54210.54459
494	54210.36123
495	54209.76796
496	54209.08651
497	54208.36319
498	54207.99139
499	54207.41602
500	54206.7559
501	54206.16226
502	54205.43853
503	54204.489
504	54204.4586
505	54203.7745
506	54202.9956
507	54202.21156
508	54201.95512
509	54201.28827
510	54201.17183
511	54200.41747
512	54199.81031
513	54199.64656
514	54199.46456
515	54199.38397
516	54198.53303
517	54197.92335
518	54197.33066
519	54196.48014
520	54196.06241
521	54195.70969
522	54194.8087
523	54194.39826
524	54193.73442
525	54193.34635
526	54193.1081
527	54192.49768
528	54191.84631
529	54191.09365
530	54190.57235
531	54190.49861
532	54189.92479
533	54189.8229
534	54189.46341
535	54189.04471
536	54188.90135
537	54188.2144
538	54187.51223
539	54187.04341
540	54186.54271
541	54185.85654
542	54185.49018
543	54185.15669
544	54184.48483
545	54184.4046
546	54184.15572
547	54183.7005
548	54183.19839
549	54182.38667
550	54182.23506
551	54181.78976
552	54181.08675
553	54180.57204
554	54179.73191
555	54179.19881
556	54179.07344
557	54178.67219
558	54178.62714
559	54177.97446
560	54177.75166
561	54177.45424
562	54176.94618
563	54176.73707
564	54176.27179
565	54176.07597
566	54175.2688
567	54174.76552
568	54174.72601
569	54173.97283
570	54173.79148
571	54172.99384
572	54172.69185
573	54172.3377
574	54171.48582
575	54171.02399
576	54170.86084
577	54170.5256
578	54170.4184
