iter	Passed	Remaining
0	2	2329
1	4	2045
2	6	2026
3	8	2235
4	11	2253
5	13	2194
6	14	2127
7	16	2105
8	18	2029
9	20	2010
10	22	2009
11	24	2014
12	26	2016
13	28	1995
14	29	1933
15	31	1919
16	33	1930
17	35	1927
18	37	1915
19	38	1904
20	40	1896
21	42	1899
22	44	1891
23	46	1881
24	48	1886
25	50	1881
26	51	1872
27	52	1831
28	54	1824
29	56	1818
30	58	1819
31	60	1819
32	61	1814
33	63	1810
34	65	1813
35	67	1809
36	69	1808
37	71	1809
38	73	1813
39	75	1808
40	77	1803
41	78	1799
42	81	1804
43	82	1801
44	84	1797
45	86	1793
46	88	1795
47	89	1780
48	91	1777
49	93	1773
50	95	1771
51	96	1763
52	98	1760
53	100	1760
54	102	1757
55	104	1760
56	106	1759
57	108	1762
58	111	1775
59	113	1775
60	115	1773
61	117	1775
62	119	1775
63	121	1774
64	122	1762
65	124	1758
66	126	1755
67	128	1760
68	130	1757
69	131	1753
70	133	1749
71	135	1745
72	137	1743
73	139	1740
74	140	1728
75	141	1724
76	143	1725
77	145	1724
78	147	1724
79	149	1722
80	151	1720
81	153	1717
82	155	1713
83	156	1703
84	157	1699
85	159	1698
86	161	1697
87	163	1694
88	165	1691
89	167	1690
90	168	1687
91	170	1685
92	172	1683
93	174	1680
94	176	1679
95	178	1676
96	179	1674
97	181	1671
98	182	1663
99	184	1660
100	185	1652
101	186	1640
102	188	1637
103	189	1636
104	191	1635
105	193	1633
106	195	1630
107	197	1628
108	199	1627
109	200	1624
110	202	1622
111	204	1619
112	206	1619
113	208	1619
114	210	1617
115	212	1617
116	214	1616
117	216	1614
118	217	1612
119	219	1609
120	221	1607
121	223	1607
122	225	1604
123	226	1597
124	227	1595
125	228	1588
126	230	1587
127	232	1585
128	234	1582
129	236	1580
130	238	1580
131	240	1578
132	241	1576
133	242	1570
134	244	1568
135	246	1568
136	248	1562
137	250	1562
138	252	1562
139	254	1562
140	255	1557
141	257	1556
142	259	1555
143	261	1555
144	262	1550
145	264	1549
146	266	1547
147	268	1547
148	270	1547
149	272	1546
150	274	1545
151	276	1540
152	278	1540
153	280	1539
154	282	1538
155	284	1539
156	285	1530
157	286	1529
158	288	1528
159	289	1521
160	291	1520
161	292	1512
162	294	1511
163	295	1507
164	296	1502
165	298	1501
166	300	1501
167	302	1500
168	303	1494
169	305	1493
170	306	1487
171	309	1489
172	311	1489
173	313	1488
174	315	1487
175	316	1482
176	318	1482
177	321	1482
178	323	1482
179	325	1482
180	326	1478
181	328	1476
182	329	1469
183	331	1468
184	333	1469
185	335	1468
186	337	1467
187	339	1466
188	341	1466
189	343	1465
190	344	1459
191	346	1459
192	348	1459
193	350	1457
194	352	1456
195	353	1449
196	355	1448
197	357	1448
198	359	1447
199	361	1445
200	362	1442
201	364	1441
202	366	1440
203	368	1439
