customer_id,gender,elderly,married,have_children,weeks_since_purchase,lives_in_large_city,lives_in_citycenter,loyalty_club_level,frequent_buyer_discount,is_bank_customer,loyalty_creditcard,weekly_email,loyaltyclub_magazine,purchase_online,segment_income,longtime_member,segment_type,avg_monthly_discount,control_group,Purchased
243,Female,0,Yes,Yes,0,Yes,No,Basic,Yes,No,No,Yes,Yes,Yes,Middle Income,Yes,Hedonist,74.7,False,No
1983,Male,0,No,Yes,14,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Rationalist,19.95,True,No
2982,Male,0,No,No,67,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Traditionalist,20.5,False,No
5556,Female,0,Yes,Yes,70,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Traditionalist,19.8,True,No
5911,Male,0,No,No,6,Yes,No,Basic,No,No,Yes,No,Yes,No,High Income,No,Rationalist,60.9,False,No
954,Female,0,No,No,15,Yes,No,Basic,Yes,No,Yes,Yes,No,No,High Income,No,Experientialist ,58.95,True,No
5835,Female,0,Yes,No,65,Yes,Yes,Premium,Yes,No,Yes,No,Yes,Yes,High Income,Yes,Experientialist ,105.05,False,No
6164,Female,0,Yes,No,19,Yes,Yes,Premium,No,Yes,No,No,No,Yes,High Income,Yes,Experientialist ,89.1,False,No
2268,Female,0,Yes,No,72,Yes,Yes,Premium,Yes,Yes,Yes,Yes,Yes,Yes,Low Income,Yes,Hedonist,113.65,False,No
690,Male,0,No,No,51,Yes,Yes,Premium,No,No,No,No,No,Yes,High Income,No,Traditionalist,83.4,True,No
1189,Female,0,No,No,35,Yes,No,Premium,No,No,Yes,Yes,Yes,Yes,Middle Income,Yes,Experientialist ,99.25,False,No
4478,Male,0,Yes,Yes,19,Yes,No,Basic,Yes,No,No,No,No,No,Middle Income,Yes,Traditionalist,48.95,True,No
2697,Female,0,No,No,68,No,No,Basic,Yes,No,Yes,Yes,No,No,Low Income,No,Rationalist,38.9,True,No
6961,Female,1,Yes,No,42,Yes,Yes,Premium,No,Yes,Yes,No,Yes,No,High Income,Yes,Experientialist ,95.55,False,No
4343,Female,1,No,No,52,Yes,Yes,Basic,Yes,No,Yes,No,No,No,Low Income,No,Traditionalist,59.85,False,No
5370,Female,0,No,No,34,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Rationalist,20.35,False,No
5862,Male,0,No,No,35,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,19.25,True,No
3177,Female,0,Yes,No,51,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,25.5,True,No
2220,Male,1,No,No,20,Yes,No,Premium,No,No,No,No,Yes,Yes,High Income,No,Experientialist ,89.95,True,No
4095,Male,0,No,No,1,Yes,No,Premium,No,No,No,Yes,No,No,High Income,No,Experientialist ,74.0,True,No
246,Male,1,No,No,4,Yes,No,Premium,Yes,No,No,No,No,No,High Income,No,Experientialist ,75.35,True,No
3240,Male,0,No,No,16,Yes,No,Basic,No,No,No,Yes,No,No,High Income,Yes,Rationalist,49.45,True,No
850,Female,0,Yes,Yes,72,Yes,Yes,Basic,Yes,Yes,Yes,Yes,Yes,Yes,Low Income,No,Hedonist,89.8,True,No
5525,Male,0,Yes,Yes,45,Yes,No,Basic,Yes,No,No,Yes,No,No,Low Income,No,Traditionalist,54.65,True,No
4935,Female,0,Yes,No,72,Yes,Yes,Premium,Yes,Yes,Yes,No,Yes,Yes,Low Income,Yes,Experientialist ,110.75,False,No
1995,Male,0,No,No,22,Yes,No,Low engagement,No,No,No,No,No,No,Middle Income,No,Rationalist,19.6,True,No
1498,Female,0,Yes,Yes,51,Yes,No,Premium,Yes,Yes,No,No,No,No,High Income,Yes,Traditionalist,79.15,False,No
112,Female,0,No,No,52,Yes,No,Basic,Yes,No,Yes,Yes,No,No,Middle Income,No,Hedonist,57.95,True,No
1730,Male,0,Yes,No,64,Yes,Yes,Premium,Yes,Yes,Yes,No,No,No,Middle Income,No,Traditionalist,89.45,False,No
3144,Male,0,Yes,Yes,13,Yes,Yes,Basic,No,Yes,Yes,Yes,Yes,No,High Income,Yes,Experientialist ,72.8,True,No
839,Male,0,No,No,36,Yes,No,Basic,Yes,No,Yes,Yes,Yes,Yes,High Income,Yes,Hedonist,79.2,True,No
3461,Female,0,Yes,No,48,Yes,No,Premium,No,No,Yes,Yes,Yes,Yes,High Income,Yes,Hedonist,100.05,True,No
4450,Female,0,No,No,60,Yes,Yes,Premium,No,Yes,Yes,No,Yes,Yes,Low Income,No,Experientialist ,104.7,True,No
4556,Male,0,Yes,Yes,19,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,20.2,True,No
6205,Male,0,No,No,13,No,No,Basic,No,No,No,No,No,No,High Income,Yes,Traditionalist,25.15,True,No
231,Male,0,No,No,54,Yes,Yes,Premium,Yes,Yes,No,Yes,Yes,Yes,Low Income,Yes,Hedonist,108.0,False,No
2081,Male,1,Yes,No,72,Yes,Yes,Basic,Yes,Yes,Yes,No,Yes,Yes,Low Income,Yes,Hedonist,84.1,True,No
4076,Male,0,No,No,53,No,No,Basic,Yes,Yes,No,No,No,Yes,High Income,Yes,Traditionalist,46.3,True,No
5182,Male,0,Yes,Yes,72,Yes,Yes,Basic,Yes,Yes,Yes,Yes,Yes,Yes,Low Income,Yes,Hedonist,90.8,False,No
3892,Male,0,Yes,No,42,Yes,Yes,Basic,Yes,No,No,No,No,No,Middle Income,No,Hedonist,56.1,False,No
3553,Male,0,No,No,68,Yes,Yes,Premium,Yes,Yes,Yes,No,No,Yes,Low Income,Yes,Traditionalist,102.1,True,No
1967,Male,1,No,No,24,Yes,Yes,Basic,No,Yes,No,No,No,No,High Income,No,Hedonist,54.8,False,No
69,Female,0,Yes,Yes,50,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Traditionalist,20.15,True,No
3794,Female,0,No,No,9,Yes,No,Low engagement,No,No,No,No,No,No,High Income,No,Rationalist,20.25,True,No
3406,Female,0,Yes,Yes,64,Yes,Yes,Premium,Yes,No,No,Yes,No,No,High Income,Yes,Traditionalist,86.8,False,No
2254,Male,1,Yes,No,72,Yes,No,Basic,Yes,Yes,Yes,Yes,Yes,No,Low Income,No,Traditionalist,74.4,True,No
5214,Female,1,Yes,No,17,Yes,Yes,Premium,No,No,No,No,Yes,Yes,High Income,Yes,Experientialist ,92.55,False,No
1357,Female,0,No,No,9,Yes,Yes,Premium,No,No,No,No,No,No,High Income,Yes,Hedonist,75.2,True,No
1820,Female,0,Yes,Yes,61,No,No,Basic,No,Yes,Yes,Yes,Yes,No,Low Income,No,Hedonist,51.35,True,No
3909,Female,1,Yes,No,60,Yes,Yes,Premium,Yes,Yes,Yes,Yes,Yes,Yes,Low Income,Yes,Traditionalist,116.05,False,No
6679,Male,0,No,Yes,19,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Hedonist,20.85,True,No
6745,Male,0,No,No,68,Yes,Yes,Premium,Yes,Yes,Yes,No,Yes,No,Middle Income,No,Traditionalist,101.35,True,No
727,Female,0,No,No,22,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,26.25,False,No
3360,Male,0,No,No,21,Yes,No,Low engagement,No,No,No,No,No,No,High Income,Yes,Rationalist,19.95,False,No
5849,Male,0,Yes,Yes,72,Yes,Yes,Premium,Yes,Yes,Yes,Yes,No,Yes,Low Income,No,Hedonist,103.95,True,No
5625,Male,1,Yes,No,62,Yes,Yes,Premium,No,Yes,No,No,No,Yes,High Income,Yes,Traditionalist,89.8,False,No
4045,Female,0,Yes,No,70,Yes,Yes,Basic,No,Yes,Yes,Yes,Yes,Yes,Low Income,Yes,Traditionalist,84.8,True,No
4527,Male,0,No,No,13,Yes,No,Premium,Yes,No,No,No,No,No,High Income,Yes,Hedonist,73.75,True,No
941,Female,0,No,Yes,24,Yes,No,Low engagement,No,No,No,No,No,No,Middle Income,No,Traditionalist,21.05,False,No
1382,Male,0,No,No,2,Yes,No,Premium,No,No,No,No,No,No,High Income,No,Rationalist,70.7,True,No
3047,Female,0,Yes,No,61,Yes,Yes,Premium,No,No,Yes,Yes,Yes,Yes,Middle Income,Yes,Traditionalist,103.3,False,No
2160,Female,0,No,No,15,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,No,Traditionalist,25.05,False,No
5056,Female,1,Yes,No,53,Yes,Yes,Low engagement,No,No,No,No,No,No,Low Income,No,Hedonist,25.1,False,No
4135,Female,0,Yes,No,55,Yes,Yes,Premium,No,Yes,Yes,No,Yes,Yes,High Income,Yes,Hedonist,103.65,True,No
4244,Female,0,No,Yes,40,Yes,No,Basic,Yes,No,No,Yes,Yes,No,High Income,Yes,Hedonist,64.1,True,No
3856,Male,0,Yes,Yes,53,Yes,No,Basic,No,Yes,No,Yes,Yes,No,High Income,No,Hedonist,65.0,True,No
4915,Female,0,Yes,Yes,72,Yes,Yes,Basic,Yes,Yes,No,Yes,Yes,No,Low Income,No,Rationalist,74.55,True,No
279,Male,0,No,No,14,No,No,Basic,No,No,Yes,Yes,Yes,Yes,High Income,Yes,Experientialist ,55.0,True,No
932,Male,0,No,No,33,Yes,No,Premium,No,Yes,No,Yes,No,No,Low Income,No,Traditionalist,80.6,True,No
1677,Female,0,No,No,4,Yes,Yes,Premium,Yes,No,No,No,No,No,High Income,Yes,Experientialist ,80.15,False,No
5325,Male,0,No,No,24,Yes,Yes,Basic,No,No,No,Yes,No,No,Middle Income,No,Traditionalist,54.6,False,No
2747,Female,0,Yes,Yes,31,Yes,No,Low engagement,No,No,No,No,No,No,Low Income,No,Rationalist,21.0,True,No
5778,Male,0,Yes,No,72,Yes,Yes,Basic,Yes,Yes,Yes,Yes,No,No,Low Income,No,Rationalist,68.15,False,No
585,Female,0,No,No,3,Yes,No,Low engagement,No,No,No,No,No,No,High Income,Yes,Rationalist,20.0,False,No
